RANK  ,COMPANY NAME,PRIMARY INDUSTRY,GROWTH,CITY,PROV.,CEO NAME,
30 ,ServiceTitan,Software,"5,577%",Glendale,CA,Ara Mahdessian,
31 ,InfoScout,Software,"5,536%",San Francisco,CA,Jared Schrieber,
32 ,Maropost,Digital content/media/entertainment,"5,450%",Toronto,ON,Ross Andrew Paquette,
33 ,Momentum Solar,Energy tech,"5,343%",Metuchen,NJ,Arthur Souritzidis,
34 ,Gimbal,Digital content/media/entertainment,"5,285%",Santa Monica,CA,Rob Emrich,
35 ,Datorama,Software,"5,149%",New York,NY,Ran Sarig,
36 ,AGTC,Biotechnology/pharmaceutical,"4,928%",Alachua,FL,Sue Washer,
37 ,BetterCloud,Software,"4,905%",New York,NY,David Politis,
38 ,Cloudnexa,Software,"4,872%",Philadelphia,PA,Joel Davne,
39 ,Signs.com,Software,"4,258%",Salt Lake City,UT,Nelson James,
40 ,Refresh Financial,Software,"4,241%",Kelowna,BC,Michael Wendland,
41 ,FabFitFun,Digital content/media/entertainment,"4,140%",Los Angeles,CA,"Daniel Broukhim;
Michael Broukhim",
42 ,Benevity,Software,"4,109%",Calgary,AB,Bryan de Lottinville,
43 ,Gametime,Digital content/media/entertainment,"3,856%",San Francisco,CA,Brad Griffith,
44 ,QASymphony,Software,"3,687%",Atlanta,GA,Dave Keil,
45 ,"Yieldmo, Inc.",Software,"3,657%",New York,NY,Michael Yavonditte,
46 ,"Lexicon Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,"3,651%",The Woodlands,TX,Lonnel Coats,
47 ,Datadog,Software,"3,631%",New York,NY,Olivier Pomel,
48 ,Choozle,Software,"3,579%",Denver,CO,Andrew Fischer,
49 ,"Acura Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,"3,529%",Palatine,IL,Robert B. Jones ,
50 ,Redis Labs,Software,"3,373%",Mountain View,CA,Ofer Bengal,
51 ,Tanium Inc.,Software,"3,355%",Emeryville,CA,Orion Hindawi,
52 ,Unata,Software,"3,298%",Toronto,ON,Chris Bryson,
53 ,Doximity,Software,"3,176%",San Francisco,CA,Jeff Tangney,
54 ,NewLink Genetics Corporation,Biotechnology/pharmaceutical,"3,172%",Ames,IA,"Charles J. Link Jr., M.D.",
55 ,"Innoviva, Inc.",Biotechnology/pharmaceutical,"2,847%",Brisbane,CA,Michael W. Aguiar,
56 ,Remitly,Software,"2,831%",Seattle,WA,Matt Oppenheimer,
57 ,Influitive,Software,"2,813%",Toronto,ON,Mark Organ,
58 ,Talent Rover,Software,"2,802%",Chicago,IL,Kent Gray ,
59 ,Remark Holdings,Digital content/media/entertainment,"2,797%",Las Vegas,NV,Kai-Shing Tao,
60 ,"Trevena, Inc.",Biotechnology/pharmaceutical,"2,678%",Chesterbrook,PA,Maxine Gowen,
61 ,HealthCare.com,Digital content/media/entertainment,"2,600%",Miami,FL,Howard Yeh,
62 ,Shiftgig,Software,"2,551%",Chicago,IL,Wade Burgess,
64 ,TripleLift,Digital content/media/entertainment,"2,522%",New York,NY,Eric Berry,
65 ,Dashlane,Software,"2,484%",New York,NY,Emmanuel Schalit,
66 ,"Alkami Technology, Inc.",Software,"2,415%",Plano,TX,Mike Hansen,
67 ,Awesense,Software,"2,356%",Vancouver,BC,Mischa Steiner,
68 ,Exact Sciences Corporation,Biotechnology/pharmaceutical,"2,324%",Madison,WI,Kevin Conroy,
69 ,Dataminr,Software,"2,318%",New York,NY,Ted Bailey,
70 ,KnowBe4,Software,"2,258%",Clearwater,FL,Stu Sjouwerman,
71 ,Domo,Software,"2,250%",American Fork,UT,Josh James,
72 ,Payfone,Software,"2,153%",New York,NY,Rodger Desai,
73 ,Eleven Biotherapeutics,Biotechnology/pharmaceutical,"2,147%",Cambridge,MA,Stephen A. Hurly,
74 ,Digital Turbine Inc.,Software,"2,145%",Austin,TX,Bill Stone,
75 ,Verified First,Software,"2,094%",Meridian,ID,Devon Dickinson,
76 ,FixMeStick Technologies Inc.,Software,"2,037%",Montreal,QC,Marty Algire,
77 ,Convergent Dental,Medical devices,"2,002%",Needham Heights,MA,Michael Cataldo,
78 ,Simplus,Software,"1,928%",Sandy,UT,Ryan Westwood,
79 ,"Navidea Biopharmaceuticals, Inc.",Biotechnology/pharmaceutical,"1,843%",Dublin,OH,"Michael M. Goldberg, M.D.",
80 ,n2grate,Communications/networking,"1,796%",Greenbelt,MD,Steve Halligan,
81 ,Zadara Storage,Software,"1,771%",Irvine,CA,Nelson Nahum,
82 ,Reorg Research Inc.,Digital content/media/entertainment,"1,759%",New York,NY,Kent Collier,
83 ,Yieldbot,Digital content/media/entertainment,"1,719%",New York,NY,Jonathan Mendez,
84 ,"Alimera Sciences, Inc.",Biotechnology/pharmaceutical,"1,707%",Alpharetta,GA,Dan Myers,
85 ,"Supernus Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,"1,689%",Rockville,MD,Jack A. Khattar,
86 ,"Sorrento Therapeutics, Inc.",Biotechnology/pharmaceutical,"1,672%",San Diego,CA,Henry Ji,
87 ,Trinity Technology Partners Inc,Software,"1,645%",Greenbelt,MD,Bruce Lansdowne,
88 ,Vidyard,Software,"1,609%",Kitchener,ON,Michael Litt,
89 ,Spreemo Health,Software,"1,606%",New York,NY,Ron Vianu,
90 ,"CytomX Therapeutics, Inc.",Biotechnology/pharmaceutical,"1,594%",South San Francisco,CA,Sean McCarthy,
91 ,Welltok,Software,"1,576%",Denver,CO,Jeff Margolis,
92 ,"xG Technology, Inc.",Communications/networking,"1,519%",Sarasota,FL,George F. Schmitt,
93 ,Wave,Software,"1,494%",Toronto,ON,Kirk Simpson,
94 ,Artsy,Digital content/media/entertainment,"1,456%",New York,NY,Carter Cleveland,
95 ,Mavenlink,Software,"1,446%",Irvine,CA,Ray Grainger,
96 ,"Intercept Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,"1,438%",New York,NY,Mark Pruzanski,
97 ,"T2 Biosystems, Inc.",Biotechnology/pharmaceutical,"1,434%",Lexington,MA,John McDonough,
98 ,"Acadia Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,"1,414%",San Diego,CA,Stephen R. Davis,
99 ,PrinterLogic,Software,"1,379%",St. George,UT,Ryan Wedig,
100 ,Maxwell Health,Software,"1,366%",Boston,MA,Veer Gidwaney,
101 ,"Nutanix, Inc.",Software,"1,357%",San Jose,CA,Dheeraj Pandey,
102 ,Hireology,Software,"1,338%",Chicago,IL,Adam Robinson,
103 ,Brighter,Software,"1,334%",Santa Monica,CA,Jake Winebaum,
104 ,Canada Drives,Electronic devices/hardware,"1,332%",Vancouver,BC,Cody Green,
105 ,LookingGlass Cyber Solutions Inc.,Software,"1,326%",Reston,VA,Chris Coleman,
106 ,Eagle Pharmaceuticals Inc.,Biotechnology/pharmaceutical,"1,283%",Woodcliff Lake,NJ,Scott Tarriff,
107 ,Adaptive Biotechnologies,Biotechnology/pharmaceutical,"1,274%",Seattle,WA,Chad Robins,
108 ,Perfecta,Communications/networking,"1,266%",Springfield,VA,George Zoulias,
109 ,"Amicus Therapeutics, Inc.",Biotechnology/pharmaceutical,"1,266%",Cranbury,NJ,John F. Crowley,
110 ,MomentFeed,Software,"1,247%",Santa Monica,CA,Robert Blatt,
111 ,Malwarebytes,Software,"1,240%",Santa Clara,CA,Marcin Kleczynski,
112 ,The Muse,Digital content/media/entertainment,"1,227%",New York,NY,Kathryn Minshew,
113 ,CleanChoice Energy,Energy tech,"1,196%",Washington,DC,Tom Matzzie,
114 ,Snipp Interactive,Software,"1,189%",Washington,DC,Atul Sabharwal,
115 ,Fastly,Software,"1,173%",San Francisco,CA,Artur Bergman,
116 ,"Opko Health, Inc.",Biotechnology/pharmaceutical,"1,166%",Miami,FL,Phillip Frost,
117 ,Ironwood Pharmaceuticals,Biotechnology/pharmaceutical,"1,097%",Cambridge,MA,Peter Hecht,
118 ,Tophatter Inc.,Software,"1,068%",Palo Alto,CA,Ashvin Kumar,
119 ,Tout,Digital content/media/entertainment,"1,063%",San Francisco,CA,Michael Downing,
120 ,Couchbase,Software,"1,061%",Mountain View,CA,Matt Cain,
121 ,Kabbage Inc,Software,978%,Atlanta,GA,Rob Frohwein,
122 ,OnSite Media,Digital content/media/entertainment,969%,Park City,UT,Brian Van Hecke,
123 ,SRAX,Digital content/media/entertainment,948%,Los Angeles,CA,Chris Miglino,
124 ,Hortonworks Inc,Software,933%,Santa Clara,CA,Rob Bearden,
125 ,"MacStadium, Inc.",Communications/networking,929%,Atlanta,GA,Greg McGraw,
126 ,PixMob,Digital content/media/entertainment,929%,Montreal,QC,David Parent,
127 ,"Alliqua BioMedical, Inc.",Biotechnology/pharmaceutical,913%,Yardley,PA,David Johnson,
128 ,CallRail,Software,905%,Atlanta,GA,Andy Powell,
129 ,SkyKick,Software,899%,Seattle,WA,"Todd Schwartz;
Evan Richman",
130 ,"Orexigen Therapeutics, Inc.",Biotechnology/pharmaceutical,883%,La Jolla,CA,Michael Narachi,
131 ,Nevro,Medical devices,872%,Redwood City,CA,Rami Elghandour,
132 ,Seismic,Software,872%,San Diego,CA,Doug Winter,
133 ,Ranker Inc,Digital content/media/entertainment,858%,Los Angeles,CA,Clark Benson,
134 ,TickPick,Digital content/media/entertainment,846%,New York,NY,Chris O’Brien,
135 ,Wombat Security,Software,840%,Pittsburgh,PA,Joe Ferrara,
136 ,DigitalOcean,Software,824%,New York,NY,Ben Uretsky,
137 ,VertaMedia,Software,820%,New York,NY,Chris Karl,
138 ,Koupon Media,Software,809%,Addison,TX,Bill Ogle,
139 ,Qstream,Software,808%,Burlington,MA,Duncan Lennox,
140 ,"Progenics Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,783%,New York,NY,Mark Baker,
141 ,"Neos Therapeutics, Inc.",Biotechnology/pharmaceutical,776%,Grand Prairie,TX,Vipin Garg,
142 ,PagerDuty,Software,771%,San Francisco,CA,Jennifer Tejada,
143 ,WorkFusion,Software,770%,New York,NY,Max Yankelevich,
144 ,Anaplan,Software,766%,San Francisco,CA,Frank Calderoni,
145 ,"Xencor, Inc.",Biotechnology/pharmaceutical,761%,Monrovia,CA,"Bassil I. Dahiyat, Ph.D.",
146 ,"ZIOPHARM Oncology, Inc.",Biotechnology/pharmaceutical,758%,Boston,MA,Laurence J.N. Cooper,
147 ,Procore Technologies,Software,758%,Carpinteria,CA,Craig “Tooey” Courtemanche,
148 ,Maximum Games,Digital content/media/entertainment,756%,Walnut Creek,CA,Christina Seelye,
149 ,Urjanet,Software,735%,Atlanta,GA,Sanjoy Malik,
150 ,Immune Design,Biotechnology/pharmaceutical,729%,Seattle,WA,"Carlos Paya, M.D., Ph.D.",
151 ,Axonify,Software,723%,Waterloo,ON,Carol Leaman,
152 ,Definitive Healthcare,Software,707%,Framingham,MA,Jason Krantz,
153 ,Intrexon,Biotechnology/pharmaceutical,704%,Blacksburg,VA,Randal J. Kirk,
154 ,Yapta,Software,702%,Seattle,WA,James Filsinger,
155 ,ShopKeep,Software,702%,New York,NY,Michael DeSimone,
156 ,ViralGains,Software,701%,Boston,MA,Tod Loofbourrow,
157 ,"Fitbit, Inc.",Electronic devices/hardware,700%,San Francisco,CA,James Park,
158 ,"Corcept Therapeutics, Inc.",Biotechnology/pharmaceutical,685%,Menlo Park,CA,Joseph K. Belanoff,
159 ,"Castlight Health, Inc.",Software,684%,San Francisco,CA,John Doyle,
160 ,Metamarkets,Digital content/media/entertainment,683%,San Francisco,CA,Mike Driscoll,
161 ,Sauce Labs,Software,682%,San Francisco,CA,Charles Ramsey,
162 ,BroadbandTV,Digital content/media/entertainment,682%,Vancouver,BC,Shahrzad Rafati,
163 ,Visier,Software,679%,Vancouver,BC,John Schwarz,
164 ,Shopify,Software,675%,Ottawa,ON,Tobias Lutke,
165 ,Wrike,Software,670%,San Jose,CA,Andrew Filev,
166 ,"Cloudera, Inc.",Software,647%,Palo Alto,CA,Thomas J. Reilly,
167 ,Agenus Inc.,Biotechnology/pharmaceutical,641%,Lexington,MA,Garo Armen,
168 ,"Proteostasis Therapeutics, Inc.",Biotechnology/pharmaceutical,635%,Cambridge,MA,Meenu Chhabra,
169 ,InviteManager,Software,635%,Calabasas,CA,Tony Knopp,
170 ,App Annie Inc.,Software,630%,San Francisco,CA,Bertrand Schmitt,
171 ,ReliaQuest,Communications/networking,624%,Tampa,FL,Brian Murphy,
172 ,TouchBistro Inc.,Software,619%,Toronto,ON,Alex Barrotti,
173 ,Biz2Credit,Software,616%,New York,NY,Rohit Arora,
174 ,"Ocera Therapeutics, Inc.",Biotechnology/pharmaceutical,616%,San Diego,CA,Linda Grais,
175 ,Druva,Software,616%,Sunnyvale,CA,Jaspreet Singh,
176 ,"Athersys, Inc.",Biotechnology/pharmaceutical,612%,Cleveland,OH,Gill Van Bokkelen,
177 ,TraceLink,Software,611%,North Reading,MA,Shabbir Dahod,
178 ,"ViewRay, Inc.",Medical devices,604%,Mountain View,CA,Chris A. Raanes,
179 ,SiteLock,Software,603%,Scottsdale,AZ,Neill Feather,
180 ,"Fate Therapeutics, Inc.",Biotechnology/pharmaceutical,603%,San Diego,CA,Scott Wolchko,
181 ,Sortable,Software,601%,Kitchener,ON,Christopher Reid,
182 ,Coupa Software,Software,601%,San Mateo,CA,Rob Bernshteyn,
183 ,Plusgrade,Software,589%,Montreal,QC,Ken Harris,
184 ,"Cemtrex, Inc.",Electronic devices/hardware,585%,Farmingdale,NY,Saagar Govil,
185 ,Big Blue Bubble,Digital content/media/entertainment,582%,London,ON,Damir Slogar,
186 ,RateHub,Software,575%,Toronto,ON,Alyssa Furtado,
187 ,Kargo,Digital content/media/entertainment,571%,New York,NY,Harry Kargman,
188 ,"TixTrack, Inc.",Digital content/media/entertainment,568%,Santa Monica,CA,Steven Sunshine,
189 ,nCino,Software,562%,Wilmington,NC,Pierre Naudé,
190 ,"AMAG Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,558%,Waltham,MA,William K. Heiden,
191 ,AdTheorent,Digital content/media/entertainment,557%,New York,NY,Executive Team,
192 ,Professional Diversity Network,Digital content/media/entertainment,556%,Chicago,IL,James Kirsch,
193 ,Signal,Software,548%,Chicago,IL,Mike Sands,
194 ,MobileCause,Software,542%,Calabasas,CA,Sean MacNeill,
195 ,Tealium,Software,538%,San Diego,CA,Jeff Lunsford,
196 ,Influenster,Digital content/media/entertainment,530%,New York,NY,Aydin Acar,
197 ,GoCanvas,Software,528%,Reston,VA,James Quigley,
198 ,GuideSpark,Software,525%,Redwood City,CA,Keith Kitani,
199 ,Inphi Corporation,Semiconductor,520%,Santa Clara,CA,Dr. Ford Tamer,
200 ,PhishMe,Software,519%,Leesburg,VA,Rohyt Belani,
201 ,"Acacia Communications, Inc.",Semiconductor,516%,Maynard,MA,Murugesan Shanmugaraj,
202 ,New Relic,Software,511%,San Francisco,CA,Lew Cirne,
203 ,"Exelixis, Inc.",Biotechnology/pharmaceutical,511%,San Francisco,CA,Michael M. Morrissey,
204 ,"MobileSmith, Inc.",Software,507%,Raleigh,NC,Bob Dieterle,
205 ,Truveris,Software,499%,New York,NY,Faisal Mushtaq,
206 ,Unbounce,Software,496%,Vancouver,BC,Rick Perreault,
207 ,Scorpion,Digital content/media/entertainment,494%,Valencia,CA,Rustin Kretz,
208 ,Quid,Software,493%,San Francisco,CA,Bob Goodson,
209 ,Foursquare,Software,491%,New York,NY,Jeff Glueck,
210 ,Delphix,Software,483%,Redwood City,CA,Chris Cook,
211 ,Yext,Software,478%,New York,NY,Howard Lerman,
212 ,SMS Masterminds,Software,468%,San Luis Obispo,CA,Luke Wallace,
213 ,"Viveve, Inc.",Biotechnology/pharmaceutical,461%,Englewood,CO,Patricia Scheller,
214 ,GumGum,Digital content/media/entertainment,459%,Santa Monica,CA,Ophir Tanz,
215 ,Twilio,Software,456%,San Francisco,CA,Jeff Lawson,
216 ,Buyatab Online Inc.,Software,451%,Vancouver,BC,Johann Tergesen,
217 ,Top Hat,Software,447%,Toronto,ON,Mike Silagadze,
218 ,Glaukos Corporation,Biotechnology/pharmaceutical,446%,San Clemente,CA,Thomas W. Burns,
219 ,mobileLIVE,Software,445%,Richmond Hill,ON,Jahan Ali,
220 ,Homesnap Inc.,Software,444%,Rockville,MD,John Mazur,
221 ,Smartsheet,Software,444%,Bellevue,WA,Mark Mader,
222 ,Dialpad,Communications/networking,443%,San Francisco,CA,Craig Walker,
223 ,MuleSoft,Software,438%,San Francisco,CA,Greg Schott,
224 ,Eyeview,Digital content/media/entertainment,437%,New York,NY,Oren Harnevo,
225 ,Jornaya,Software,435%,Conshohocken,PA,Ross Shanken,
226 ,Avani Technology Solutions,Software,434%,Rochester,NY,Sameer Penakalapati ,
227 ,Movable Ink,Software,434%,New York,NY,Vivek Sharma,
228 ,Chef Software,Software,426%,Seattle,WA,Barry Crist,
229 ,Sorenson Media,Software,426%,Draper,UT,Marcus Liassides,
230 ,Orion Technologies,Electronic devices/hardware,421%,Orlando,FL,Nirav J. Pandya,
231 ,ZipRecruiter,Software,418%,Santa Monica,CA,Ian Siegel,
232 ,"BOX, INC.",Software,415%,Redwood City,CA,Aaron Levie,
233 ,"Neurocrine Biosciences, Inc.",Biotechnology/pharmaceutical,414%,San Diego,CA,Kevin C. Gorman,
234 ,Catchpoint,Software,409%,New York,NY,Mehdi Daoudi,
235 ,FSAstore.com/HSAstore.com,Digital content/media/entertainment,405%,New York,NY,Jeremy Miller,
236 ,"Pfenex, Inc.",Biotechnology/pharmaceutical,405%,San Diego,CA,Eef Schimmelpennink,
237 ,Modernizing Medicine,Software,405%,Boca Raton,FL,Daniel Cane,
238 ,Condeco,Software,404%,New York,NY,Martin Brooker,
239 ,"CV Sciences, Inc.",Biotechnology/pharmaceutical,403%,Las Vegas,NV,Michael J. Mona,
240 ,"Blucora, Inc.",Software,400%,Irving,TX,John S. Clendening,
241 ,Arcane Digital Inc.,Digital content/media/entertainment,399%,London,ON,Eric Vardon,
242 ,Sharecare,Software,398%,Atlanta,GA,Jeff Arnold,
243 ,Onapsis Inc.,Software,398%,Boston,MA,Mariano Nunez,
244 ,Big Switch Networks,Communications/networking,396%,Santa Clara,CA,Douglas Murray,
245 ,Cardlytics,Digital content/media/entertainment,396%,Atlanta,GA,Scott Grimes,
246 ,Contently,Digital content/media/entertainment,396%,New York,NY,Joe Coleman,
247 ,eSentire,Software,391%,Cambridge,ON,J. Paul Haynes,
248 ,JW Player,Software,381%,New York,NY,Dave Otten,
249 ,Geron Corporation,Biotechnology/pharmaceutical,380%,Menlo Park,CA,John Scarlett,
250 ,Course Hero,Digital content/media/entertainment,376%,Redwood City,CA,Andrew Grauer,
251 ,Dealer-FX,Software,371%,Markham,ON,Gary Kalk,
252 ,King Memory,Software,367%,Columbus,OH,"Chad Crnkovich;
Darryl Tanner",
253 ,SRI Tech Solutions Inc.,Software,363%,Tampa,FL,Hari Thota,
254 ,Pluralsight,Software,363%,Farmington,UT,Aaron Skonnard,
255 ,Voices.com,Digital content/media/entertainment,362%,London,ON,David Ciccarelli,
256 ,"Keryx Biopharmaceuticals, Inc.",Biotechnology/pharmaceutical,357%,Boston,MA,Greg Madison,
257 ,You.i TV,Software,354%,Ottawa,ON,Jason Flick,
258 ,P2Sample,Digital content/media/entertainment,352%,Alpharetta,GA,Mathijs de Jong,
259 ,Invuity Medical Inc.,Medical devices,352%,Sunnyvale,CA,Philip Sawyer,
260 ,Media Resources Inc.,Electronic devices/hardware,349%,Oakville,ON,Jeff Rushton,
261 ,AXS Group LLC,Digital content/media/entertainment,348%,Los Angeles,CA,Bryan Perez,
262 ,TravelPass Group,Digital content/media/entertainment,347%,Lehi,UT,Ryan McCoy,
263 ,QGenda,Software,347%,Atlanta,GA,Greg Benoit,
264 ,"Intersect ENT, Inc.",Medical devices,346%,Menlo Park,CA,Lisa Earnhardt,
265 ,Eastside Games Inc.,Digital content/media/entertainment,345%,Vancouver,BC,Joshua Nilson,
266 ,Budge Studios,Software,343%,Montréal,QC,David Lipes,
267 ,FireEye,Software,342%,Milpitas,CA,Kevin Mandia,
268 ,BioIQ,Software,337%,Santa Barbara,CA,Justin Bellante,
269 ,Demandbase,Software,335%,San Francisco,CA,Chris Golec,
270 ,"Axtria, Inc.",Software,334%,Berkeley Heights,NJ,Jaswinder S. Chadha,
271 ,FreeTextbooks,Software,334%,Birmingham,AL,Jonathan Robinson,
272 ,2nd Watch,Software,333%,Seattle,WA,Doug Schneider,
273 ,"Zendesk, Inc.",Software,333%,San Francisco,CA,Mikkel Svane,
274 ,Recorded Future,Software,332%,Somerville,MA,Christopher Ahlberg,
275 ,"Vanda Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,331%,Washington,DC,"Mihael H. Polymeropoulos, M.D.",
276 ,Factual,Software,331%,Los Angeles,CA,Gil Elbaz,
277 ,"Zillow Group, Inc.",Digital content/media/entertainment,329%,Seattle,WA,Spencer Rascoff,
278 ,Insigma Inc,Electronic devices/hardware,328%,Ashburn,VA,Kamna Kapoor,
279 ,"ANI Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,328%,Baudette,MN,Arthur Przybyl,
280 ,"Instructure, Inc.",Software,326%,Salt Lake City,UT,Josh Coates,
281 ,"Workday, Inc.",Software,325%,Pleasanton,CA,Aneel Bhusri,
282 ,Lotame,Software,322%,Columbia,MD,Andy Monfried,
283 ,Agilis Systems,Software,322%,St. Louis,MO,Paul Inman,
284 ,SoftPath Technologies LLC,Software,320%,Livonia,MI,Jay Gubbala,
285 ,IZEA. Inc.,Software,312%,Winter Park,FL,Ted Murphy,
286 ,"Cancer Genetics, Inc.",Biotechnology/pharmaceutical,309%,Rutherford,NJ,Panna Sharma,
287 ,Cognitive Medical Systems,Biotechnology/pharmaceutical,308%,San Diego,CA,Douglas W. Burke,
288 ,Budget Dumpster,Software,306%,Westlake,OH,John Fenn,
289 ,Simpli.fi,Digital content/media/entertainment,301%,Fort Worth,TX,Frost Prioleau,
290 ,Big Viking Games,Software,300%,London,ON,Albert Lai,
291 ,"AppFolio, Inc.",Software,298%,Goleta,CA,Jason Randall,
292 ,ClearObject,Software,297%,Fishers,IN,John McDonald,
293 ,Sojern Inc,Software,295%,San Francisco,CA,Mark Rabe,
294 ,"eOriginal, Inc.",Software,295%,Baltimore,MD,Brian Madocks,
295 ,Fuze,Software,293%,Boston,MA,Colin Doherty,
296 ,"Natera, Inc.",Biotechnology/pharmaceutical,293%,San Carlos,CA,Matthew Rabinowitz,
297 ,CytoSorbents Corporation,Medical devices,293%,Monmouth Junction,NJ,"Phillip P. Chan, M.D., Ph.D.",
298 ,ClickDimensions,Software,290%,Atlanta,GA,Mike Dickerson,
299 ,Magnet Forensics,Software,288%,Waterloo,ON,Adam Belsher,
300 ,ReviMedia,Digital content/media/entertainment,287%,New York,NY,Frans van Hulle,
301 ,Zapproved LLC,Software,284%,Portland,OR,Monica Enand,
302 ,"Twitter, Inc.",Software,280%,San Francisco,CA,Jack Dorsey,
303 ,Vox Media,Digital content/media/entertainment,278%,Washington,DC,Jim Bankoff,
304 ,NantHealth,Software,276%,Culver City,CA,Patrick Soon-Shiong,
305 ,500px,Software,275%,Toronto,ON,Andy Yang,
306 ,"AxoGen, Inc.",Medical devices,275%,Alachua,FL,Karen Zaderej,
307 ,TextNow,Communications/networking,275%,Waterloo,ON,Derek Ting,
308 ,Oportun,Software,272%,Redwood City,CA,Raul Vazquez,
309 ,GSOFT,Software,272%,Montreal,QC,Simon De Baene,
310 ,Seal Software,Software,270%,Walnut Creek,CA,Ulf Zetterberg,
311 ,AvidXchange,Software,268%,Charlotte,NC,Michael Praeger,
312 ,"Elite Pharmaceuticals, Inc.",Biotechnology/pharmaceutical,267%,Northvale,NJ,Nasrat Hakim,
313 ,"Teligent, Inc.",Biotechnology/pharmaceutical,267%,Buena,NJ,Jason Grenfell-Gardner,
314 ,"Dexcom, Inc.",Medical devices,265%,San Diego,CA,Kevin Sayer,
315 ,Financeit,Software,259%,Toronto,ON,Michael Garrity,
316 ,"Lannett Company, Inc.",Biotechnology/pharmaceutical,259%,Philadelphia,PA,"Arthur P. Bedrosian, J.D.",
317 ,Apttus,Software,258%,San Mateo,CA,Kirk Krappe,
318 ,Traction on Demand,Software,257%,Burnaby,BC,Greg Malpass,
319 ,"Tableau Software, Inc.",Software,256%,Seattle,WA,Adam Selipsky,
320 ,AlienVault,Software,255%,San Mateo,CA,Barmak Meftah,
321 ,Thycotic,Software,253%,Washington,DC,James Legg,
322 ,Facebook Inc.,Software,251%,Menlo Park,CA,Mark Zuckerberg,
323 ,"Hubspot, Inc.",Software,249%,Cambridge,MA,Brian Halligan,
324 ,Palo Alto Networks,Software,248%,Santa Clara,CA,Mark D. McLaughlin,
325 ,BrightOrder Inc.,Software,248%,Mississauga,ON,Jay Georgi,
326 ,"Adma Biologics, Inc.",Biotechnology/pharmaceutical,248%,Ramsey,NJ,Adam Grossman,
327 ,"Cytokinetics, Inc.",Biotechnology/pharmaceutical,247%,South San Francisco,CA,Robert I. Blum,
328 ,PhishLabs,Software,247%,Charleston,SC,Tony Prince,
329 ,Zebra Technologies Corporation,Electronic devices/hardware,244%,Lincolnshire,IL,Anders Gustafsson,
